,wave,ext
0,290.0,2.3295840095977365
1,292.0,2.309543422464074
2,294.0,2.2896098763430537
3,296.0,2.269782077134167
4,298.0,2.2500587549979425
5,300.0,2.2304386637417686
6,302.0,2.210920580225224
7,304.0,2.1915033037841916
8,306.0,2.172185655673056
9,308.0,2.1529664785242915
10,310.0,2.1338446358247705
11,312.0,2.1148190114082084
12,314.0,2.0958885089631156
13,316.0,2.077052051555702
14,318.0,2.0583085811671946
15,320.0,2.039657058245016
16,322.0,2.0210964612673656
17,324.0,2.002625786320703
18,326.0,1.9842440466896356
19,328.0,1.9659502724588727
20,330.0,1.9477435101266938
21,332.0,1.9296228222296392
22,334.0,1.911587286977971
23,336.0,1.8794435850985631
24,338.0,1.8640471161960002
25,340.0,1.848650647293437
26,342.0,1.833254178390874
27,344.0,1.8178577094883108
28,346.0,1.8024612405857479
29,348.0,1.7870647716831847
30,350.0,1.7716683027806217
31,352.0,1.7562718338780585
32,354.0,1.7408753649754956
33,356.0,1.7254788960729321
34,358.0,1.7105080996240885
35,360.0,1.691602215880439
36,362.0,1.6714223992256887
37,364.0,1.6536546489768362
38,366.0,1.6276742041190135
39,368.0,1.610206389461268
40,370.0,1.5925874091203494
41,372.0,1.5793193214853947
42,374.0,1.5713295061821375
43,376.0,1.5541699136444846
44,378.0,1.5342585336032715
45,380.0,1.5185709657561555
46,382.0,1.5047435879145699
47,384.0,1.4915697409431485
48,386.0,1.4752169426855932
49,388.0,1.4596579846320044
50,390.0,1.4414190768633917
51,392.0,1.4259104137767276
52,394.0,1.4050331404669292
53,396.0,1.3839056610499456
54,398.0,1.3669562458430364
55,400.0,1.3527412703497417
56,402.0,1.3373327317130344
57,404.0,1.3172253148334714
58,406.0,1.2998951197781798
59,408.0,1.2833055611946007
60,410.0,1.2664494422736732
61,412.0,1.248962041834054
62,414.0,1.2311730441592985
63,416.0,1.2086367238135565
64,418.0,1.1908550092152186
65,420.0,1.1755648595946173
66,422.0,1.1607900943074903
67,424.0,1.1443141471771965
68,426.0,1.1248349859600972
69,428.0,1.1016314625740051
70,430.0,1.0791909098625183
71,432.0,1.0491790771484375
72,434.0,1.0261784791946411
73,436.0,1.0200299620628357
74,438.0,1.024137318134308
75,440.0,1.0238423943519592
76,442.0,1.008758008480072
77,444.0,0.9801724553108216
78,446.0,0.9433028697967528
79,448.0,0.9235337376594543
80,450.0,0.907966136932373
81,452.0,0.8948118090629578
82,454.0,0.8788138329982758
83,456.0,0.8619506359100342
84,458.0,0.8397834300994873
85,460.0,0.8164195418357849
86,462.0,0.7981749773025513
87,464.0,0.78556889295578
88,466.0,0.7689663469791412
89,468.0,0.7530443668365479
90,470.0,0.7420922517776489
91,472.0,0.7312147617340088
92,474.0,0.7226026952266693
93,476.0,0.7136569619178772
94,478.0,0.7040238976478577
95,480.0,0.6856098771095276
96,482.0,0.6722156405448914
97,484.0,0.6582812070846558
98,486.0,0.6420307755470276
99,488.0,0.6216914057731628
100,490.0,0.6040794253349304
101,492.0,0.582257091999054
102,494.0,0.5581321120262146
103,496.0,0.5325375199317932
104,498.0,0.5006474852561951
105,500.0,0.4761386215686798
106,502.0,0.4458994716405868
107,504.0,0.4228558540344238
108,506.0,0.3961544632911682
109,508.0,0.3767129629850387
110,510.0,0.3642041534185409
111,512.0,0.3464516103267669
112,514.0,0.3305286169052124
113,516.0,0.313401848077774
114,518.0,0.2958141565322876
115,520.0,0.2773031592369079
116,522.0,0.2552253901958465
117,524.0,0.2358665391802787
118,526.0,0.2160530984401703
119,528.0,0.1982781141996383
120,530.0,0.1834772229194641
121,532.0,0.1722348630428314
122,534.0,0.1626358181238174
123,536.0,0.1517347395420074
124,538.0,0.1376036629080772
125,540.0,0.1217138171195983
126,542.0,0.1038151532411575
127,544.0,0.0818421952426433
128,546.0,0.034528724849224
129,548.0,0.0118822650983929
130,550.0,-0.0088982610031962
131,552.0,-0.0301745822653174
132,554.0,-0.0495193414390087
133,556.0,-0.0664982795715332
134,558.0,-0.080536350607872
135,560.0,-0.0930605977773666
136,562.0,-0.1056446172297
137,564.0,-0.118747740983963
138,566.0,-0.1239990592002868
139,568.0,-0.13367260992527
140,570.0,-0.1405202522873878
141,572.0,-0.1495978981256485
142,574.0,-0.1588586866855621
143,576.0,-0.1672648936510086
144,578.0,-0.1765355169773101
145,580.0,-0.1879598796367645
146,582.0,-0.1994028240442276
147,584.0,-0.2117136344313621
148,586.0,-0.2249931395053863
149,588.0,-0.2375695332884788
150,590.0,-0.2508868277072906
151,592.0,-0.2641704678535461
152,594.0,-0.277726411819458
153,596.0,-0.2907308936119079
154,598.0,-0.3027572631835937
155,600.0,-0.313950166106224
156,602.0,-0.3265745192766189
157,604.0,-0.338617205619812
158,606.0,-0.3512372374534607
159,608.0,-0.3608725965023041
160,610.0,-0.3696560114622116
161,612.0,-0.3769670873880386
162,614.0,-0.3827900886535644
163,616.0,-0.3891868442296982
164,618.0,-0.3971725404262543
165,620.0,-0.4055333435535431
166,622.0,-0.412240132689476
167,624.0,-0.4199351668357849
168,626.0,-0.4277752190828323
169,628.0,-0.4359832555055618
170,630.0,-0.443613201379776
171,632.0,-0.4520843476057052
172,634.0,-0.4614048302173614
173,636.0,-0.4711405038833618
174,638.0,-0.4705763906240463
175,640.0,-0.473183661699295
176,642.0,-0.4800528883934021
177,644.0,-0.5059540867805481
178,646.0,-0.5237272381782532
179,648.0,-0.5380429625511169
180,650.0,-0.5454199910163879
181,652.0,-0.5548693537712097
182,654.0,-0.5661837458610535
183,656.0,-0.5806235373020172
